"","X","RespondentID","Year","Age","Region","Educ.Level","Educ.Years","Educ.Attained","Marital","Husb.Educ.Level","Husb.Educ.Years","Husb.Employment","Employment","Husb.Educ.Attained","Husb.Age","Emotional.IPV","Less.Physic.IPV","More.Physic.IPV","Sexual.IPV","Husb.Employment.Bin","Employment.Bin","LPG","Physical.IPV","ANY.IPV","Counts.IPV","Male","Female"
"1539",11055,11637,2017,35,2,3,15,5,1,2,11,7212,1420,3,34,1,0,0,1,1,1,"Both employed",0,1,2,1,1
"1540",11056,11638,2017,33,2,2,11,4,1,1,5,9213,0,1,34,0,0,0,0,1,0,"Male only Employed",0,0,0,1,0
"1541",11058,11640,2017,31,2,2,11,4,1,2,8,9312,0,3,28,0,0,0,0,1,0,"Male only Employed",0,0,0,1,0
"1542",11059,11641,2017,36,2,3,15,5,2,3,15,9621,5311,5,43,0,0,0,0,1,1,"Both employed",0,0,0,1,1
"1543",11060,11642,2017,22,2,2,9,3,2,3,12,5414,5211,5,29,0,0,0,0,1,1,"Both employed",0,0,0,1,1
"1544",11061,11643,2017,27,2,2,11,4,1,1,4,9312,9111,1,44,0,0,0,0,1,1,"Both employed",0,0,0,1,1
"1545",11062,11644,2017,21,2,3,13,5,2,3,12,8321,0,5,23,0,0,0,0,1,0,"Male only Employed",0,0,0,1,0
"1546",11063,11645,2017,28,2,2,11,4,1,2,11,8321,0,3,26,0,0,0,0,1,0,"Male only Employed",0,0,0,1,0
"1547",11064,11646,2017,37,2,2,11,4,1,1,7,9211,9121,1,30,0,0,0,0,1,1,"Both employed",0,0,0,1,1
"1548",11065,11647,2017,29,2,3,13,5,1,3,12,5212,0,5,41,1,1,1,0,1,0,"Male only Employed",1,1,2,1,0
"1549",11066,11648,2017,27,2,3,14,5,1,3,15,5412,5221,5,28,0,0,0,0,1,1,"Both employed",0,0,0,1,1
"1550",11068,11650,2017,29,2,2,11,4,1,3,15,6112,5211,5,33,0,0,0,0,1,1,"Both employed",0,0,0,1,1
"1551",11069,11651,2017,32,2,2,11,4,1,1,5,6111,0,1,31,0,0,0,0,1,0,"Male only Employed",0,0,0,1,0
"1552",11070,11652,2017,20,2,1,6,1,1,1,3,6111,0,1,28,0,0,0,0,1,0,"Male only Employed",0,0,0,1,0
"1553",11071,11653,2017,28,2,1,7,2,1,1,5,6111,0,1,35,0,0,0,0,1,0,"Male only Employed",0,0,0,1,0
"1554",11072,11654,2017,19,2,2,10,3,2,2,10,7212,0,3,20,1,1,0,0,1,0,"Male only Employed",1,1,2,1,0
"1555",11073,11655,2017,25,2,2,11,4,2,2,11,9333,9121,3,26,0,0,0,0,1,1,"Both employed",0,0,0,1,1
"1556",11074,11656,2017,23,2,1,4,1,1,1,7,9313,0,1,23,0,0,0,0,1,0,"Male only Employed",0,0,0,1,0
"1557",11075,11657,2017,32,2,2,10,3,2,3,13,7115,0,5,54,0,0,0,0,1,0,"Male only Employed",0,0,0,1,0
"1558",11078,11661,2017,43,2,2,11,4,1,2,11,9312,0,3,38,0,0,0,0,1,0,"Male only Employed",0,0,0,1,0
"1559",11079,11662,2017,36,2,3,15,5,1,3,98,0,2341,5,54,0,0,0,0,0,1,"Female only Employed",0,0,0,0,1
"1560",11080,11663,2017,20,2,2,11,4,2,2,10,3435,1211,3,19,1,1,0,0,1,1,"Both employed",1,1,2,1,1
"1561",11082,11665,2017,22,2,2,11,4,2,2,9,9211,0,3,23,1,0,0,0,1,0,"Male only Employed",0,1,1,1,0
"1562",11084,11668,2017,31,2,2,11,4,2,3,13,9211,9121,5,34,0,0,0,0,1,1,"Both employed",0,0,0,1,1
"1563",11085,11669,2017,22,2,1,1,1,2,1,2,9213,9121,1,21,1,1,1,0,1,1,"Both employed",1,1,2,1,1
"1564",11086,11670,2017,38,2,2,11,4,1,3,13,6111,0,5,40,0,0,0,0,1,0,"Male only Employed",0,0,0,1,0
"1565",11088,11672,2017,22,2,2,10,3,2,2,11,1324,0,3,27,0,0,0,0,1,0,"Male only Employed",0,0,0,1,0
