"","CASEID","V000","V001","V002","V003","V004","V005","V006","V007","V008","V008A","V009","V010","V011","V012","V013","V024","V101","V106","V107","V149","V190","V191","V190A","V191A","V501","V502","V503","V504","V505","V506","V701","V702","V704","V704A","V705","V714","V714A","V715","V716","V717","V719","V721","V729","V730","V731","V732","V739","V740","V741","V743A","V743B","V743C","V743D","V743E","V743F","V744A","V744B","V744C","V744D","V744E","V745A","V745B","V745C","V745D","V746","D005","D101A","D101B","D101C","D101D","D101E","D101F","D101G","D101H","D101I","D101J","D102","D103A","D103B","D103C","D103D","D103E","D103F","D103G","D104","D105A","D105B","D105C","D105D","D105E","D105F","D105G","D105H","D105I","D105J","D105K","D105L","D105M","D105N","D106","D107","D108","D109","D110A","D110B","D110C","D110D","D110E","D110F","D110G","D110H","D111","D112","D112A","D113","D114"
"4590","    11100012  2","PH7",1110,12,2,1110,561192,9,2017,1413,42999,3,1996,1155,21,2,10,10,2,11,4,1,-81759,2,-61616,2,1,1,1,1,NA,3,12,5245,1,7,1,NA,12,5212,3,3,NA,5,28,2,2,NA,NA,0,1,2,NA,1,NA,1,0,0,0,0,0,0,0,NA,NA,NA,425029,1,1,0,0,0,NA,NA,NA,NA,NA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA
"4591","    11100019  3","PH7",1110,19,3,1110,561192,9,2017,1413,42999,11,1978,947,38,5,10,10,2,11,4,1,-80917,2,-60711,1,1,1,1,1,NA,1,3,5212,1,3,1,NA,3,5212,3,3,NA,1,32,2,1,NA,NA,0,1,2,NA,1,NA,1,0,0,0,0,0,0,0,NA,NA,NA,833917,1,0,0,0,0,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,1,2
"4592","    11100023  2","PH7",1110,23,2,1110,561192,9,2017,1413,42999,12,1983,1008,33,4,10,10,3,15,5,2,-66254,2,-44952,1,1,1,1,1,NA,2,11,8521,1,8,1,NA,11,9613,9,2,NA,3,36,2,1,4,NA,1,2,2,NA,2,NA,2,0,0,0,0,0,3,3,NA,NA,2,425029,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA
"4593","    11110024  2","PH7",1111,24,2,1111,581652,9,2017,1413,42998,6,1979,954,38,5,10,10,2,11,4,1,-191989,1,-180083,1,1,1,1,1,NA,1,7,9213,1,4,0,0,7,0,0,NA,NA,1,37,0,NA,NA,NA,NA,4,4,NA,4,NA,4,0,0,0,0,0,2,2,NA,NA,NA,440524,0,0,1,0,1,NA,NA,NA,NA,NA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA
"4594","    11110025  2","PH7",1111,25,2,1111,581652,9,2017,1413,42998,10,1982,994,34,4,10,10,2,11,4,1,-89962,2,-70432,1,1,1,1,1,NA,1,5,6117,1,4,0,0,5,0,0,NA,NA,1,44,0,NA,NA,NA,NA,1,2,NA,1,NA,1,0,0,0,0,0,2,0,NA,NA,NA,440524,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA
"4595","    11120008  4","PH7",1112,8,4,1112,1473128,9,2017,1413,42990,9,1989,1077,28,3,10,10,2,10,3,4,101749,4,54874,1,1,2,1,1,NA,2,10,9312,1,9,1,NA,10,1420,1,3,NA,3,24,2,1,NA,NA,0,1,1,NA,1,NA,1,0,0,0,0,0,1,0,NA,NA,NA,1115700,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA
"4596","    11120013  2","PH7",1112,13,2,1112,1473128,9,2017,1413,42990,12,1981,984,35,5,10,10,2,11,4,4,113194,4,67017,1,1,1,1,1,NA,3,15,5165,1,7,1,NA,15,1420,1,3,NA,5,43,2,1,NA,NA,0,1,2,NA,1,NA,1,0,0,0,0,0,2,0,NA,NA,NA,1115700,1,0,0,0,0,NA,NA,NA,NA,NA,1,0,3,0,0,0,0,3,1,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,2
"4597","    11120014  2","PH7",1112,14,2,1112,1473128,9,2017,1413,42990,8,1996,1160,21,2,10,10,2,11,4,2,-23363,1,-77862,2,1,1,1,1,NA,2,11,9211,1,4,0,0,11,0,0,NA,NA,3,23,0,NA,NA,NA,NA,1,2,NA,1,NA,1,0,0,0,0,0,0,0,NA,NA,NA,1115700,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,1,2
"4598","    11120018  2","PH7",1112,18,2,1112,1473128,9,2017,1413,42990,6,1989,1074,28,3,10,10,2,8,3,2,-57155,1,-113714,2,1,1,1,1,NA,1,4,9312,1,9,0,0,4,0,0,NA,NA,1,29,0,NA,NA,NA,NA,2,2,NA,2,NA,2,0,0,0,0,0,2,2,NA,NA,NA,1115700,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA
"4599","    11120020  2","PH7",1112,20,2,1112,1473128,9,2017,1413,42990,11,1985,1031,31,4,10,10,3,14,5,3,33776,2,-17241,1,1,1,2,1,NA,3,14,9312,1,9,0,0,14,0,0,NA,NA,5,40,0,NA,NA,NA,NA,4,4,NA,4,NA,4,0,0,0,0,0,0,0,NA,NA,NA,1115700,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA
