"","CASEID","V000","V001","V002","V003","V004","V005","V006","V007","V008","V008A","V009","V010","V011","V012","V013","V024","V101","V106","V107","V149","V190","V191","V190A","V191A","V501","V502","V503","V504","V505","V506","V701","V702","V704","V704A","V705","V714","V714A","V715","V716","V717","V719","V721","V729","V730","V731","V732","V739","V740","V741","V743A","V743B","V743C","V743D","V743E","V743F","V744A","V744B","V744C","V744D","V744E","V745A","V745B","V745C","V745D","V746","D005","D101A","D101B","D101C","D101D","D101E","D101F","D101G","D101H","D101I","D101J","D102","D103A","D103B","D103C","D103D","D103E","D103F","D103G","D104","D105A","D105B","D105C","D105D","D105E","D105F","D105G","D105H","D105I","D105J","D105K","D105L","D105M","D105N","D106","D107","D108","D109","D110A","D110B","D110C","D110D","D110E","D110F","D110G","D110H","D111","D112","D112A","D113","D114"
"762","    01160026  2","PH7",116,26,2,116,209178,8,2017,1412,42978,6,1976,918,41,6,14,14,1,7,2,1,-139729,1,-123918,1,1,1,1,1,NA,1,7,6112,1,4,1,NA,7,9213,4,1,NA,1,40,2,2,NA,NA,0,2,2,NA,2,NA,2,0,0,0,0,0,1,2,NA,NA,NA,326503,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA
"763","    01170005  5","PH7",117,5,5,117,71491,9,2017,1413,42986,4,1994,1132,23,2,14,14,3,13,5,1,-83702,2,-63704,1,1,1,1,1,NA,3,13,7115,1,8,1,NA,13,5131,7,2,NA,5,31,2,2,4,NA,2,4,4,NA,4,NA,4,0,0,0,0,0,2,2,NA,NA,3,53137,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,1,2
"764","    01170015  2","PH7",117,15,2,117,71491,9,2017,1413,42984,8,1984,1016,33,4,14,14,2,11,4,1,-79576,2,-59270,1,1,1,2,1,NA,1,2,9214,1,4,1,NA,2,9999,99,1,NA,1,49,2,2,NA,NA,0,4,4,NA,4,NA,4,0,0,0,0,0,0,2,NA,NA,NA,53137,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,1,2
"765","    01170016  2","PH7",117,16,2,117,71491,9,2017,1413,42985,4,1994,1132,23,2,14,14,2,9,3,1,-108354,1,-90198,2,1,1,1,1,NA,2,11,6225,1,4,1,NA,11,5311,7,1,NA,3,23,2,2,NA,NA,0,2,2,NA,2,NA,2,0,0,0,0,0,0,0,NA,NA,NA,53137,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA
"766","    01170024  2","PH7",117,24,2,117,71491,9,2017,1413,42993,8,1983,1004,34,4,14,14,3,13,5,1,-110405,1,-92403,1,1,1,1,1,NA,1,3,6111,1,4,1,NA,3,6111,4,1,NA,1,32,2,3,NA,NA,0,4,4,NA,4,NA,4,0,0,0,0,0,2,0,NA,NA,NA,53137,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,1,2
"767","    01180001  2","PH7",118,1,2,118,196601,10,2017,1414,43014,11,1980,971,36,5,14,14,3,13,5,1,-117265,1,-99775,1,1,2,1,1,NA,1,7,9329,1,9,1,NA,7,1113,1,2,NA,1,36,2,1,2,NA,1,2,2,NA,2,NA,2,0,0,0,0,0,2,0,NA,NA,3,146128,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA
"768","    01180002  2","PH7",118,2,2,118,196601,10,2017,1414,43014,5,1978,941,39,5,14,14,3,15,5,4,85948,5,118622,1,1,1,1,1,NA,1,7,9329,1,9,1,NA,7,1211,1,1,NA,1,33,2,1,2,NA,1,2,2,NA,2,NA,2,0,0,0,0,0,2,2,NA,NA,3,146128,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA
"769","    01180003  2","PH7",118,3,2,118,196601,10,2017,1414,43018,5,1994,1133,23,2,14,14,3,14,5,2,-12239,3,13098,1,1,1,1,1,NA,3,12,9312,1,9,1,NA,12,9999,99,1,NA,5,26,2,3,NA,NA,0,4,4,NA,4,NA,4,0,0,0,0,0,0,0,NA,NA,NA,146128,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,1,2
"770","    01180005  2","PH7",118,5,2,118,196601,10,2017,1414,43014,5,1981,977,36,5,14,14,1,7,2,1,-121168,1,-103969,1,1,1,1,1,NA,1,7,6111,1,4,1,NA,7,6111,4,1,NA,1,38,2,1,NA,NA,0,2,2,NA,2,NA,2,0,0,0,0,0,2,2,NA,NA,NA,146128,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA
"771","    01180007  2","PH7",118,7,2,118,196601,10,2017,1414,43014,8,1983,1004,34,4,14,14,3,14,5,1,-97207,1,-78218,1,1,1,1,1,NA,1,3,6111,1,4,0,0,3,0,0,NA,NA,1,34,0,NA,NA,NA,NA,2,2,NA,2,NA,2,0,0,0,0,0,2,2,NA,NA,NA,146128,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA
"773","    01180012  2","PH7",118,12,2,118,196601,10,2017,1414,43017,3,1989,1071,28,3,14,14,2,11,4,1,-81238,2,-61056,1,1,1,1,1,NA,2,11,9312,1,9,1,NA,11,6111,4,1,NA,3,32,2,2,NA,NA,0,4,4,NA,4,NA,4,0,0,0,0,0,2,0,NA,NA,NA,146128,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,1,2
"775","    01180013  2","PH7",118,13,2,118,196601,10,2017,1414,43014,3,1975,903,42,6,14,14,3,15,5,1,-161501,1,-147317,1,1,1,1,1,NA,1,7,9312,1,9,1,NA,7,6111,4,1,NA,1,46,2,2,NA,NA,0,2,2,NA,2,NA,2,0,0,0,0,0,2,2,NA,NA,NA,146128,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA
"776","    01180018  2","PH7",118,18,2,118,196601,10,2017,1414,43017,8,1986,1040,31,4,14,14,2,11,4,1,-150598,1,-135598,1,1,1,1,1,NA,2,11,6111,1,4,1,NA,11,6111,4,1,NA,3,34,2,2,NA,NA,0,4,4,NA,4,NA,4,0,0,0,0,0,2,2,NA,NA,NA,146128,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,1,2
"777","    01180019  2","PH7",118,19,2,118,196601,10,2017,1414,43014,7,1988,1063,29,3,14,14,1,5,1,1,-91599,2,-72191,1,1,1,1,1,NA,1,3,6111,1,4,0,0,3,6111,4,1,NA,1,32,1,1,NA,NA,0,2,2,NA,2,NA,2,0,0,0,0,0,3,0,NA,NA,NA,146128,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA
"779","    01180022  2","PH7",118,22,2,118,196601,10,2017,1414,43014,3,1994,1131,23,2,14,14,2,11,4,3,46998,4,76762,1,1,1,1,1,NA,1,7,9329,1,9,1,NA,7,1221,1,1,NA,1,26,2,1,2,NA,1,2,2,NA,2,NA,2,0,0,0,0,0,0,0,NA,NA,3,146128,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA
